segment_id,vehicle,session_index,split,proxy_capacity_ah,soc_start,voltage_start,voltage_60,voltage_300,voltage_600,current_mean,tmax_mean,temperature_rise,cell_gap_mean,cell_gap_max
vehicle_018_session_00391,vehicle_018,391,test,120.7790755347222,22.8,325.8,326.9,327.8,328.6,-31.934217105263155,19.0,0,0.01680263157894737,0.018000000000000238
vehicle_018_session_00392,vehicle_018,392,test,124.55482480803978,48.4,336.6,338.4,342.7,347.4,-70.29211605263157,22.236842105263158,2,0.04857894736842107,0.05400000000000027
vehicle_018_session_00393,vehicle_018,393,test,122.45586953965056,23.2,328.3,329.65,331.1,332.7,-70.80268,19.72,1,0.030360000000000033,0.03200000000000003
vehicle_018_session_00394,vehicle_018,394,test,125.45089615740743,67.6,352.8,354.95,358.70000000000005,362.8,-70.25527276315788,22.19736842105263,1,0.04378947368421049,0.045999999999999375
vehicle_018_session_00395,vehicle_018,395,test,123.08136435931897,50.4,336.4,337.29999999999995,339.3,341.3,-26.110536315789478,25.0,0,0.036184210526315756,0.040000000000000036
vehicle_018_session_00396,vehicle_018,396,test,122.6186703042328,56.0,341.8,343.70000000000005,346.6,349.6,-50.10395736842106,27.0,0,0.04034210526315788,0.04600000000000026
vehicle_018_session_00397,vehicle_018,397,test,124.74222341617937,52.0,337.5,338.85,342.0,344.9,-44.47369381578949,28.0,0,0.04215789473684211,0.04499999999999993
vehicle_018_session_00398,vehicle_018,398,test,123.38013854412927,41.2,333.0,334.29999999999995,337.0,340.7,-70.02763644736842,28.82894736842105,1,0.038144736842105224,0.04600000000000026
vehicle_018_session_00399,vehicle_018,399,test,122.21561679067462,41.2,332.1,332.8,334.5,336.4,-45.33290250000001,29.0,0,0.027407894736842107,0.03100000000000014
vehicle_018_session_00400,vehicle_018,400,test,121.81071884023856,27.2,329.1,330.25,331.7,333.5,-69.87762828947368,25.67105263157895,1,0.029776315789473696,0.03200000000000003
vehicle_018_session_00401,vehicle_018,401,test,122.03808421840961,16.0,323.6,324.9,326.0,326.7,-25.558683599999988,24.0,0,0.02141333333333326,0.02499999999999991
vehicle_018_session_00402,vehicle_018,402,test,124.03759496082623,51.2,337.7,339.0,342.15,345.0,-44.03421921052633,24.513157894736842,1,0.04322368421052634,0.04700000000000015
vehicle_018_session_00403,vehicle_018,403,test,124.59984503058105,54.0,341.1,343.4,346.975,350.7,-65.0120024,27.333333333333332,1,0.04617333333333331,0.05400000000000027
vehicle_018_session_00404,vehicle_018,404,test,125.4871551961501,74.8,358.0,359.65,362.7,366.0,-55.6533376,27.8,1,0.03807999999999997,0.040000000000000036
vehicle_018_session_00405,vehicle_018,405,test,122.0534608670635,27.6,328.9,330.25,331.9,333.6,-70.90933773333334,26.826666666666668,2,0.030093333333333347,0.03299999999999992
vehicle_018_session_00406,vehicle_018,406,test,124.01583915754259,42.8,333.5,334.95,337.8,342.1,-70.76317421052632,27.07894736842105,2,0.04146052631578946,0.052000000000000046
vehicle_018_session_00407,vehicle_018,407,test,120.78019345410628,39.6,331.0,332.1,333.5,335.0,-39.9026322368421,25.736842105263158,1,0.024052631578947395,0.027000000000000135
vehicle_018_session_00408,vehicle_018,408,test,124.13082091563786,43.2,333.6,334.79999999999995,337.6,341.8,-69.99737065789475,30.19736842105263,2,0.04024999999999997,0.04899999999999993
vehicle_018_session_00409,vehicle_018,409,test,123.07603155236579,14.0,324.7,326.1,328.5,329.9,-69.89466573333334,29.893333333333334,1,0.03486666666666667,0.040999999999999925
vehicle_018_session_00410,vehicle_018,410,test,122.93464155478397,25.6,328.6,329.7,331.1,332.7,-69.8434275,30.907894736842106,1,0.02959210526315791,0.03299999999999992
vehicle_018_session_00411,vehicle_018,411,test,122.67481934810537,28.4,329.4,330.6,332.0,333.6,-69.93552776315789,31.789473684210527,1,0.03042105263157897,0.03299999999999992
vehicle_018_session_00412,vehicle_018,412,test,124.57110290464746,56.0,342.7,344.79999999999995,348.55,352.5,-70.10534,31.826666666666668,1,0.04748000000000001,0.05400000000000027
vehicle_018_session_00413,vehicle_018,413,test,124.01239384176593,41.6,333.2,334.29999999999995,336.975,340.5,-71.12667506666666,34.89333333333333,1,0.03931999999999995,0.04800000000000004
vehicle_018_session_00414,vehicle_018,414,test,121.88528231349207,17.2,325.7,327.0,328.8,329.9,-64.98133506666667,32.08,1,0.03193333333333332,0.038000000000000256
vehicle_018_session_00415,vehicle_018,415,test,123.65972065857251,37.2,331.6,332.75,334.79999999999995,337.5,-69.83552986842106,29.17105263157895,2,0.03538157894736842,0.040999999999999925
vehicle_018_session_00416,vehicle_018,416,test,121.04547981770833,41.6,334.9,335.5,337.8,341.8,-70.57213836065574,23.311475409836067,1,0.04044262295081965,0.04899999999999993
vehicle_018_session_00417,vehicle_018,417,test,124.76633421516757,67.6,355.2,356.0,359.1,363.3,-70.78362491803279,26.0,0,0.0441639344262295,0.04600000000000026
vehicle_018_session_00418,vehicle_018,418,test,124.71737993055558,76.8,362.2,363.2,366.6,370.4,-67.33935426229507,25.0,0,0.043803278688524676,0.04600000000000026
vehicle_018_session_00419,vehicle_018,419,test,123.48309115629182,55.2,344.6,345.5,348.9,352.8,-70.37049065573771,24.327868852459016,1,0.048000000000000015,0.054999999999999716
vehicle_018_session_00420,vehicle_018,420,test,122.08485699895027,18.8,326.7,328.25,329.9,331.1,-70.1144832894737,24.57894736842105,1,0.03114473684210531,0.03500000000000014
vehicle_018_session_00421,vehicle_018,421,test,124.14333399074074,67.6,353.2,354.95,358.5,362.7,-70.0618477631579,27.0,0,0.044618421052631564,0.04600000000000026
vehicle_018_session_00422,vehicle_018,422,test,122.39454899691357,44.4,334.1,336.0,339.1,343.6,-70.03115081967212,23.62295081967213,1,0.043540983606557365,0.05300000000000038
vehicle_018_session_00423,vehicle_018,423,test,123.20246442307695,66.0,353.9,354.6,357.7,361.6,-69.90655786885246,26.0,0,0.0440327868852459,0.04599999999999982
vehicle_018_session_00424,vehicle_018,424,test,120.18489939236112,41.2,334.9,335.3,337.4,340.7,-69.92131409836064,32.22950819672131,1,0.03906557377049179,0.04600000000000026
vehicle_018_session_00425,vehicle_018,425,test,126.09478401070133,73.2,358.9,359.7,363.0,367.2,-69.90164114754099,34.47540983606557,1,0.044918032786885206,0.04699999999999971
vehicle_018_session_00426,vehicle_018,426,test,117.64219064465414,39.6,333.3,333.6,334.6,336.3,-45.10820672131148,33.0,0,0.026983606557377086,0.029999999999999805
vehicle_018_session_00427,vehicle_018,427,test,121.92509722222222,34.0,330.7,331.4,333.2,335.5,-70.04754557377049,37.540983606557376,1,0.03286885245901641,0.03600000000000003
vehicle_018_session_00428,vehicle_018,428,test,124.24989935661765,58.8,346.8,347.4,350.7,354.6,-69.9262313114754,39.967213114754095,1,0.04621311475409833,0.04899999999999993
vehicle_018_session_00429,vehicle_018,429,test,123.63084048202619,27.6,329.7,329.9,330.7,331.7,-49.89179639344262,35.98360655737705,1,0.023803278688524613,0.0259999999999998
vehicle_018_session_00430,vehicle_018,430,test,120.87481053067997,28.0,331.0,331.1,332.2,333.8,-69.83279704918033,33.950819672131146,2,0.03088524590163935,0.03299999999999992
vehicle_018_session_00431,vehicle_018,431,test,122.53071906160966,54.8,343.9,344.7,347.8,351.8,-69.82132508196722,37.26229508196721,1,0.04724590163934426,0.051000000000000156
vehicle_018_session_00432,vehicle_018,432,test,120.26540947420636,17.6,327.2,327.5,328.5,329.2,-49.76722983606559,34.47540983606557,1,0.024704918032786915,0.028999999999999915
vehicle_018_session_00433,vehicle_018,433,test,119.37267361111113,40.0,333.8,334.1,335.3,337.1,-49.721323606557384,37.0,0,0.02908196721311471,0.03200000000000003
vehicle_018_session_00434,vehicle_018,434,test,122.11749431273952,63.6,350.5,351.0,353.2,355.8,-49.71804459016394,38.9344262295082,1,0.03739344262295086,0.039000000000000146
vehicle_018_session_00435,vehicle_018,435,test,121.58058055555558,13.2,326.3,326.9,328.5,329.7,-71.76231,39.032786885245905,-1,0.033704918032786906,0.03799999999999981
vehicle_018_session_00436,vehicle_018,436,test,121.3830434272301,43.2,336.0,336.4,338.6,342.2,-71.71476590163934,42.14754098360656,2,0.04136065573770489,0.04999999999999982
vehicle_018_session_00437,vehicle_018,437,test,122.07117392676774,34.0,332.4,332.7,334.1,336.1,-69.77213967213115,40.278688524590166,1,0.0331639344262295,0.03699999999999992
vehicle_018_session_00438,vehicle_018,438,test,123.43919690860218,65.2,352.2,353.0,356.1,360.0,-69.74427163934428,43.0,0,0.04478688524590169,0.04600000000000026
vehicle_018_session_00439,vehicle_018,439,test,122.64344417032164,35.2,332.7,333.0,334.4,336.6,-71.3983524590164,39.60655737704918,1,0.034377049180327864,0.03799999999999981
vehicle_018_session_00440,vehicle_018,440,test,124.0438771135266,66.0,352.7,353.5,356.6,360.7,-71.38196262295082,42.09836065573771,1,0.04585245901639344,0.04700000000000015
